real,omr,sens,spec,F1,rating
beet20_2.mid,IMSLP45469_beet20_2.mid,0.9769547325102881,0.921583850931677,0.9484618457850579,73.0
beet20_2.mid,IMSLP04075_beet20_2.mid,0.2326283987915408,0.09673366834170855,0.13664596273291924,57.0
beet20_2.mid,IMSLP00020_beet20_2.mid,0.967173738991193,0.937888198757764,0.9523058730784391,67.0
beet20_2.mid,IMSLP66410_beet20_2.mid,0.11969696969696969,0.06171875,0.08144329896907217,72.0
beet20_2.mid,IMSLP51745_beet20_2.mid,0.9090909090909091,0.6909937888198758,0.7851786501985002,70.0
beet20_2.mid,IMSLP05546_beet20_2.mid,0.9913249211356467,0.9759316770186336,0.983568075117371,73.0
beet20_2.mid,IMSLP69582_beet20_2.mid,0.980720871751886,0.9083850931677019,0.94316807738815,57.0
beet23_3.mid,IMSLP66412_beet23_3.mid,0.5790281329923274,0.624551724137931,0.60092899800929,73.0
beet23_3.mid,IMSLP51795_beet23_3.mid,0.6856768272697477,0.288551724137931,0.4061741578487525,66.0
beet23_3.mid,IMSLP05549_beet23_3.mid,0.5619011115369873,0.6066206896551725,0.583405186708231,73.0
beet23_3.mid,IMSLP00023_beet23_3.mid,0.7664473684210527,0.4499310344827586,0.5670085172953242,74.0
beet23_3.mid,IMSLP04078_beet23_3.mid,0.606848058697646,0.27319020093586566,0.37676758090538104,61.0
beet23_3.mid,IMSLP03184_beet23_3.mid,0.11318021932547072,0.07536511435657206,0.09048052270283681,61.0
beet1_1.mid,IMSLP66390_beet1_1.mid,0.977328431372549,0.9387875220718069,0.9576703692584809,63.0
beet1_1.mid,IMSLP05524_beet1_1.mid,0.9730722154222766,0.9358446144791054,0.9540954095409542,75.0
